City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alofi,NU,-19.0595,-169.9187,24.94,73,40,5.14,scattered clouds
80,Port Hardy,CA,50.6996,-127.4199,16.7,74,4,3.38,clear sky
81,Entre Rios,BR,-11.9419,-38.0844,19.24,94,2,2.01,clear sky
82,Menongue,AO,-14.6585,17.691,13.4,37,5,2.18,clear sky
83,Padang,ID,-0.9492,100.3543,24.77,84,100,1.7,light rain
84,Ust-Kan,RU,50.9276,84.761,12.17,77,48,1.59,scattered clouds
85,Clyde River,CA,70.4692,-68.5914,5.13,80,75,1.99,broken clouds
86,Naifaru,MV,5.4444,73.3657,28.0,73,100,3.01,overcast clouds
87,Borogontsy,RU,62.6683,131.1683,17.22,67,95,2.52,overcast clouds
88,Zyryanka,RU,65.75,150.85,8.03,56,59,2.94,broken clouds
89,Port Alfred,ZA,-33.5906,26.891,14.61,80,46,9.22,scattered clouds
90,Nome,US,64.5011,-165.4064,14.04,88,90,8.23,light rain
91,Idlib,SY,35.9306,36.6339,26.66,52,1,3.43,clear sky
92,Sisimiut,GL,66.9395,-53.6735,8.26,94,99,2.46,light rain
93,Cairns,AU,-16.9167,145.7667,19.97,80,75,3.09,broken clouds
94,Vaini,TO,-21.2,-175.2,23.09,73,40,5.66,scattered clouds
95,Pustoshka,RU,56.3355,29.369,13.31,97,86,4.72,light rain
96,Aswan,EG,24.0934,32.907,34.33,14,1,3.98,clear sky
97,Kavaratti,IN,10.5669,72.642,27.86,74,90,6.5,overcast clouds
98,Yellowknife,CA,62.456,-114.3525,29.84,26,0,4.03,clear sky
99,Aracatuba,BR,-21.2089,-50.4328,23.51,37,0,2.86,clear sky
100,Yerofey Pavlovich,RU,53.9667,121.9667,11.85,98,66,1.46,light rain
101,Dire,ML,12.2833,-10.9667,23.57,94,90,0.63,moderate rain
102,Baturaja,ID,-4.1333,104.1667,22.41,98,94,0.98,overcast clouds
103,Qaanaaq,GL,77.484,-69.3632,7.38,66,100,1.96,overcast clouds
104,Chumikan,RU,54.7183,135.315,10.87,97,100,5.51,light rain
105,Xining,CN,36.6167,101.7667,14.12,94,100,0.98,overcast clouds
106,Griffith,US,41.5284,-87.4237,25.08,51,90,0.89,overcast clouds
107,Leningradskiy,RU,69.3833,178.4167,0.47,99,100,4.97,light snow
108,Brenham,US,30.1669,-96.3977,31.71,79,40,2.57,scattered clouds
109,Cherskiy,RU,68.75,161.3,4.45,66,98,7.05,overcast clouds
110,Mar Del Plata,AR,-38.0023,-57.5575,13.94,61,0,5.36,clear sky
111,Feni,BD,23.0186,91.41,24.73,97,100,2.93,overcast clouds
112,Vila Franca Do Campo,PT,37.7167,-25.4333,21.23,78,0,3.19,clear sky
113,Aklavik,CA,68.2191,-135.0107,19.47,57,91,6.08,overcast clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,19.92,77,0,5.14,clear sky
